001, 2000, Progrmacion, Estructura de datos en java, Luis Joyanes
052, 4000, Sistemas operativos, Sistemas operativos, Andrew Tanenbaum
053, 4000, Sistemas operativos, Sistemas operativos, Andrew Tanenbaum
054, 4000, Sistemas operativos, Sistemas operativos, Andrew Tanenbaum
055, 4000, Sistemas operativos, Sistemas operativos, Andrew Tanenbaum
056, 4000, Sistemas operativos, Sistemas operativos, Andrew Tanenbaum
057, 4000, Sistemas operativos, Sistemas operativos, Andrew Tanenbaum
058, 4000, Sistemas operativos, Sistemas operativos, Andrew Tanenbaum
059, 4000, Sistemas operativos, Sistemas operativos, Andrew Tanenbaum
060, 3000, Ingeniería de software, El lenguaje de modelado unificado, Grady Booch - James Rumbaugh - Ivar Jacobson
061, 3000, Ingeniería de software, El lenguaje de modelado unificado, Grady Booch - James Rumbaugh - Ivar Jacobson
062, 3000, Ingeniería de software, El lenguaje de modelado unificado, Grady Booch - James Rumbaugh - Ivar Jacobson
063, 3000, Ingeniería de software, El lenguaje de modelado unificado, Grady Booch - James Rumbaugh - Ivar Jacobson
064, 3000, Ingeniería de software, El lenguaje de modelado unificado, Grady Booch - James Rumbaugh - Ivar Jacobson
065, 3000, Ingeniería de software, El lenguaje de modelado unificado, Grady Booch - James Rumbaugh - Ivar Jacobson
066, 3000, Ingeniería de software, El lenguaje de modelado unificado, Grady Booch - James Rumbaugh - Ivar Jacobson
067, 3000, Ingeniería de software, El lenguaje de modelado unificado, Grady Booch - James Rumbaugh - Ivar Jacobson
068, 3000, Ingeniería de software, El lenguaje de modelado unificado, Grady Booch - James Rumbaugh - Ivar Jacobson
069, 3000, Ingeniería de software, El lenguaje de modelado unificado, Grady Booch - James Rumbaugh - Ivar Jacobson
070, 3000, Ingeniería de software, El lenguaje de modelado unificado, Grady Booch - James Rumbaugh - Ivar Jacobson
071, 3000, Ingeniería de software, El lenguaje de modelado unificado, Grady Booch - James Rumbaugh - Ivar Jacobson
072, 3000, Ingeniería de software, El lenguaje de modelado unificado, Grady Booch - James Rumbaugh - Ivar Jacobson
073, 3000, Ingeniería de software, El lenguaje de modelado unificado, Grady Booch - James Rumbaugh - Ivar Jacobson
074, 3000, Ingeniería de software, El lenguaje de modelado unificado, Grady Booch - James Rumbaugh - Ivar Jacobson
075, 3000, Ingeniería de software, El lenguaje de modelado unificado, Grady Booch - James Rumbaugh - Ivar Jacobson
076, 3000, Ingeniería de software, El lenguaje de modelado unificado, Grady Booch - James Rumbaugh - Ivar Jacobson
077, 3000, Ingeniería de software, El lenguaje de modelado unificado, Grady Booch - James Rumbaugh - Ivar Jacobson
078, 3000, Ingeniería de software, El lenguaje de modelado unificado, Grady Booch - James Rumbaugh - Ivar Jacobson
079, 3000, Ingeniería de software, El lenguaje de modelado unificado, Grady Booch - James Rumbaugh - Ivar Jacobson
